estado,municipio,municipio_cod,zona,secao,candidato_13,candidato_22
am,CANUTAMA,2194,13,30,102,145
am,CANUTAMA,2194,13,31,78,157
am,CANUTAMA,2194,13,33,159,124
am,CANUTAMA,2194,13,37,51,48
am,CANUTAMA,2194,13,38,110,72
am,CANUTAMA,2194,13,39,126,95
am,CANUTAMA,2194,13,40,154,108
am,CANUTAMA,2194,13,41,104,78
am,CANUTAMA,2194,13,42,139,94
am,CANUTAMA,2194,13,43,152,84
am,CANUTAMA,2194,13,44,134,100
am,CANUTAMA,2194,13,45,65,122
am,CANUTAMA,2194,13,46,108,136
am,CANUTAMA,2194,13,47,140,93
am,CANUTAMA,2194,13,48,63,86
am,CARAUARI,2216,21,5,97,29
am,CARAUARI,2216,21,6,107,29
am,CARAUARI,2216,21,7,113,37
am,CARAUARI,2216,21,8,101,39
am,CARAUARI,2216,21,9,138,32
